Features,values
age,0.0018457458615199
country_code_0,6.180925969802458e-05
country_code_1,0.0001221988515126
country_code_2,5.8328131777121e-05
country_code_3,5.776045241170559e-05
country_code_4,6.546281784811546e-05
country_code_5,6.830756029156506e-05
country_code_6,5.633644341723713e-05
country_code_7,4.4975682768847504e-05
country_code_8,6.004098442709094e-05
country_code_9,5.40269617434816e-05
country_code_10,5.1353779974136616e-05
country_code_11,7.427879918349829e-05
country_code_12,6.127090609709722e-05
country_code_13,5.2339219638394665e-05
country_code_14,5.268718892220622e-05
country_code_15,6.347855071414757e-05
country_code_16,5.734178273062418e-05
country_code_17,5.392406697173373e-05
country_code_18,6.485843986267238e-05
country_code_19,4.208199717471289e-05
country_code_20,5.1460212424643656e-05
country_code_21,6.502126045059607e-05
country_code_22,5.511638907703215e-05
country_code_23,5.4748231392338455e-05
country_code_24,6.355960807909194e-05
country_code_25,5.0274720770222566e-05
country_code_26,5.819412106007839e-05
country_code_27,4.641540691137715e-05
country_code_28,5.047502504937518e-05
country_code_29,6.467073546773226e-05
country_code_30,5.009628600195506e-05
country_code_31,5.262477559156869e-05
country_code_32,5.877940790650538e-05
country_code_33,9.702446047199296e-05
country_code_34,5.117312405405834e-05
country_code_35,5.17562113098065e-05
country_code_36,5.080533103855251e-05
country_code_37,6.166842152586996e-05
country_code_38,5.608541108000938e-05
country_code_39,7.178345622743462e-05
country_code_40,5.367843457203683e-05
country_code_41,4.78728917814497e-05
country_code_42,7.531645688269572e-05
country_code_43,5.7789531140153925e-05
country_code_44,5.486957921919891e-05
country_code_45,0.0001450206460512
country_code_46,5.237083081210831e-05
country_code_47,6.40145083238385e-05
country_code_48,5.271439966290292e-05
country_code_49,6.119371457106766e-05
country_code_50,5.5166266375309865e-05
country_code_51,7.467966424983476e-05
country_code_52,6.746649679381384e-05
country_code_53,7.405176398494552e-05
country_code_54,5.6272514352005526e-05
country_code_55,6.897239217394366e-05
country_code_56,6.335379877337632e-05
country_code_57,4.754940632055128e-05
country_code_58,5.085456073031096e-05
country_code_59,5.7203854082946966e-05
country_code_60,6.046376709661643e-05
country_code_61,5.031009214220993e-05
country_code_62,5.363175072537085e-05
country_code_63,6.093028159926591e-05
country_code_64,6.213636435493959e-05
country_code_65,5.858028217259308e-05
country_code_66,5.818362370328489e-05
country_code_67,5.911651003674439e-05
country_code_68,5.192671588855197e-05
country_code_69,5.5003706309996176e-05
country_code_70,5.385866721844875e-05
country_code_71,5.203855545376197e-05
country_code_72,6.085738370691399e-05
country_code_73,5.819424607778597e-05
country_code_74,6.968381246334105e-05
country_code_75,6.77005097234561e-05
country_code_76,5.8597734145447845e-05
country_code_77,4.966303755393863e-05
country_code_78,5.9515316041592746e-05
country_code_79,5.283617256989623e-05
country_code_80,5.016339959303308e-05
country_code_81,5.483467167404219e-05
country_code_82,5.0439816033417376e-05
country_code_83,6.349498381329987e-05
country_code_84,5.140013056960112e-05
country_code_85,7.241606024233038e-05
country_code_86,4.966093060803613e-05
country_code_87,4.9864289319651226e-05
country_code_88,5.434471073626729e-05
country_code_89,6.12951203398531e-05
country_code_90,5.552248982982443e-05
country_code_91,5.355431206026775e-05
country_code_92,4.669479672226668e-05
country_code_93,6.0287858510576655e-05
country_code_94,6.00342583697923e-05
country_code_95,5.01816789901892e-05
country_code_96,6.301758371730673e-05
country_code_97,5.520692530967472e-05
country_code_98,4.657136595381262e-05
country_code_99,5.418964091141223e-05
country_code_100,4.3325577749734965e-05
country_code_101,5.567743392550466e-05
country_code_102,5.867226577721767e-05
country_code_103,4.149354561886903e-05
country_code_104,5.7752801977542926e-05
country_code_105,5.087336998446548e-05
country_code_106,5.028478651495622e-05
country_code_107,5.749287244608488e-05
country_code_108,4.935897470400466e-05
country_code_109,5.40434262539944e-05
country_code_110,5.984481458399405e-05
country_code_111,5.6152795437825376e-05
country_code_112,5.391944109006474e-05
country_code_113,5.442895489394496e-05
country_code_114,5.44688835145096e-05
country_code_115,6.142671450375598e-05
country_code_116,3.963479854837061e-05
country_code_117,6.31424856110961e-05
country_code_118,4.504437438410801e-05
country_code_119,6.277355411298083e-05
country_code_120,4.7367402856085326e-05
country_code_121,5.18552979571089e-05
country_code_122,4.680094909831058e-05
country_code_123,6.73601375722787e-05
country_code_124,6.48672396597572e-05
country_code_125,5.333672741995006e-05
country_code_126,7.000698905431607e-05
country_code_127,5.325458286991456e-05
country_code_128,4.8065412036354426e-05
country_code_129,6.178580306991384e-05
country_code_130,5.4590874944772704e-05
country_code_131,6.349501487249217e-05
country_code_132,5.802062163734336e-05
country_code_133,4.752738976578927e-05
country_code_134,5.584573955688441e-05
country_code_135,6.92446162034896e-05
country_code_136,4.8255051551388366e-05
country_code_137,5.807790963007297e-05
country_code_138,5.70958320815334e-05
country_code_139,6.3257472242068e-05
country_code_140,5.074956696969144e-05
country_code_141,5.903251220653286e-05
country_code_142,4.877847134808228e-05
country_code_143,5.646805915275753e-05
region_-1,0.0001144432341109
region_0,0.0005164968706642
region_1,0.0004839612017022
region_2,0.0005705546720862
region_3,0.000479645074961
region_4,0.0007209783047457
region_5,0.0003657090854852
region_6,0.0005212190611189
region_7,0.0004168326340639
FQ1_1,0.0008095356355964
FQ1_2,0.0008273295700586
FQ1_3,0.0001067622959619
FQ1_4,5.044932831626487e-05
FQ2_1.0,0.0001805933194986
FQ2_2.0,0.0001676496218084
FQ2_3.0,4.044572513959394e-05
FQ2_4.0,2.42538089781464e-05
FQ3_1.0,0.0004875830602489
FQ3_2.0,0.0004726386872023
FQ3_3.0,2.0683479122699572e-05
FQ3_4.0,1.583128565591949e-05
FQ4_1,0.0006551297599562
FQ4_2,0.0006896554842363
FQ4_3,0.0001407899576394
FQ4_4,7.326764999195051e-05
FQ6_1.0,0.0005286143400383
FQ6_2.0,0.0005134677617509
FQ6_3.0,4.718031640895866e-05
FQ6_4.0,4.497894596151446e-05
FQ7_1.0,0.0004098914627391
FQ7_2.0,0.0004082876866401
FQ7_3.0,4.221081967767211e-05
FQ7_4.0,5.369216900097448e-05
FQ8_1,0.0004035517757861
FQ8_2,0.0004042086938727
FQ8_3,9.741801523159616e-05
FQ8_4,6.248018173813382e-05
FQ9_1,0.0006675334410957
FQ9_2,0.0006625072204163
FQ9_3,0.0001029623043717
FQ9_4,8.541844060267396e-05
FQ10_1,0.0006679582546979
FQ10_2,0.0006694575245242
FQ10_3,8.59284421025519e-05
FQ10_4,8.273461699359793e-05
FQ11_1.0,0.0004589046226877
FQ11_2.0,0.0004959285323562
FQ11_3.0,0.00010539030942
FQ11_4.0,6.926718411535324e-05
FQ12_1,0.0003958875387301
FQ12_2,0.0003851948084791
FQ12_3,6.038095000321569e-05
FQ12_4,5.119581573508955e-05
FQ13_1,0.0004752309949946
FQ13_2,0.0004832590598004
FQ13_3,7.418641591809758e-05
FQ13_4,4.838886556865666e-05
FQ14_1,0.0003715719039039
FQ14_2,0.0003845783622342
FQ14_3,7.647985741677621e-05
FQ14_4,5.165641532327198e-05
FQ15_1,0.0005198328771268
FQ15_2,0.0005456071973979
FQ15_3,8.752555353649099e-05
FQ15_4,4.61812750785841e-05
FQ16_1,0.0006594510653318
FQ16_2,0.0006663319709626
FQ16_3,7.892041485168414e-05
FQ16_4,6.505886568472533e-05
FQ18_1,0.0008690764942091
FQ18_2,0.0008447595131097
FQ18_3,0.0002581647883871
FQ18_4,8.027556157473704e-05
FQ19_1.0,0.0008342939227974
FQ19_2.0,0.0006581181084806
FQ19_3.0,0.0005842311038144
FQ19_4.0,0.0002627963854998
FQ19_5.0,0.0001817797981872
FQ19_6.0,0.0001345824818483
FQ19_7.0,6.090348064041191e-05
FQ19_8.0,3.827646967862289e-05
FQ20_1.0,0.0005429674331742
FQ20_2.0,0.0005420308500635
FQ20_3.0,6.568932830665247e-05
FQ20_4.0,4.2734309978251815e-05
FQ21_1.0,0.0006397230570612
FQ21_2.0,0.000645294522878
FQ21_3.0,8.992940823406106e-05
FQ21_4.0,5.551741672633144e-05
FQ22_1,0.0008183371475059
FQ22_2,0.000801398959341
FQ22_3,8.217517821282932e-05
FQ22_4,4.335794297955226e-05
FQ23_1,0.0008004833184085
FQ23_2,0.0008216942630598
FQ23_3,7.249590876628908e-05
FQ23_4,5.895503583789432e-05
FQ24_1.0,0.000468541506444
FQ24_2.0,0.0004435878892753
FQ24_3.0,3.672383792297245e-05
FQ24_4.0,1.948522126196371e-05
FQ25_1,0.0005730739932329
FQ25_2,0.0005857770968446
FQ25_3,8.41550991418115e-05
FQ25_4,5.709730764131997e-05
FQ26_1,0.0004391072720699
FQ26_2,0.0004898875878809
FQ26_3,8.458844198354767e-05
FQ26_4,4.982020387026957e-05
FQ29_1.0,0.0005104885259866
FQ29_2.0,0.0005030323512292
FQ29_3.0,5.6129317224278025e-05
FQ29_4.0,6.414106637699149e-05
FQ32_1.0,0.0004256562003074
FQ32_2.0,0.0004639686512871
FQ32_3.0,6.77251048997581e-05
FQ32_4.0,4.417541121816316e-05
FQ33_1.0,0.0006199100181567
FQ33_2.0,0.0005888564151086
